Id,Weekly_Sales
1_3_2013-02-01,11818.622514933562
1_3_2013-02-08,11959.91988579314
1_3_2013-02-15,12273.011254034784
1_3_2013-02-22,9678.043489248153
1_3_2013-03-01,10682.899565805616
1_3_2013-03-08,10464.966528606234
1_3_2013-03-15,9890.728075107707
1_3_2013-03-22,10093.41414341967
1_3_2013-03-29,9091.827982010409
1_3_2013-04-05,9196.61310153182
1_3_2013-04-12,8680.257951330152
1_3_2013-04-19,8175.030101276878
1_3_2013-04-26,8456.813438257333
1_3_2013-05-03,15439.184267904855
1_3_2013-05-10,13461.836445664925
1_3_2013-05-17,13515.47253101735
1_3_2013-05-24,16661.9006943049
1_3_2013-05-31,18569.53880526425
1_3_2013-06-07,14320.22199021656
1_3_2013-06-14,14800.155515280489
1_3_2013-06-21,14227.4070183192
1_3_2013-06-28,13179.54669618581
1_3_2013-07-05,16638.43661197994
1_3_2013-07-12,18630.054551871955
1_3_2013-07-19,17441.340603162138
1_3_2013-07-26,17884.569403931808
1_4_2012-11-02,39866.67717536484
1_4_2012-11-09,40841.14655980496
1_4_2012-11-16,38302.535436926024
1_4_2012-11-23,45913.0802035859
1_4_2012-11-30,41862.14342586508
1_4_2012-12-07,41217.1113831776
1_4_2012-12-14,40072.12233296309
1_4_2012-12-21,44418.76897878084
1_4_2012-12-28,40039.02814865417
1_4_2013-01-04,41185.55168510268
1_4_2013-01-11,39465.557705368294
1_4_2013-01-18,37806.59067510329
1_4_2013-01-25,37256.57636831656
1_4_2013-02-01,40347.16273175544
1_4_2013-02-08,40905.892353899144
1_4_2013-02-15,38487.04375142912
1_4_2013-02-22,37615.4162600412
1_4_2013-03-01,39078.33741130457
1_4_2013-03-08,39057.49230127065
1_4_2013-03-15,37859.42317738705
1_4_2013-03-22,37813.94046434421
1_4_2013-03-29,36086.775418204226
1_4_2013-04-05,39320.02945252885
1_4_2013-04-12,37014.13730238761
1_4_2013-04-19,37385.97038604397
1_4_2013-04-26,36075.47594991314
1_4_2013-05-03,37922.12970124223
1_4_2013-05-10,38318.83979920882
1_4_2013-05-17,37039.940875196604
1_4_2013-05-24,36251.45665283391
1_4_2013-05-31,36034.241536059344
1_4_2013-06-07,38245.43347480209
1_4_2013-06-14,37602.04473871892
1_4_2013-06-21,36156.8812850498
1_4_2013-06-28,35819.80483015122
1_4_2013-07-05,39370.20016612666
1_4_2013-07-12,38225.581267786154
1_4_2013-07-19,36822.70242084187
1_4_2013-07-26,35431.951338527455
1_5_2012-11-02,34141.339317382364
1_5_2012-11-09,31862.491962220392
1_5_2012-11-16,31220.480303685712
1_5_2012-11-23,82248.19659309105
1_5_2012-11-30,66098.05853299865
1_5_2012-12-07,39403.58054195779
1_5_2012-12-14,50718.36172566137
1_5_2012-12-21,76993.02688777642
1_5_2012-12-28,32501.424503910686
1_5_2013-01-04,22708.333796159008
1_5_2013-01-11,20289.614065235633
1_5_2013-01-18,19960.946143447716
1_5_2013-01-25,19309.688768667413
1_5_2013-02-01,31074.384898054046
1_5_2013-02-08,30150.0854929098
1_5_2013-02-15,33932.70545975924
1_5_2013-02-22,32254.938524322177
1_5_2013-03-01,27106.224924752027
1_5_2013-03-08,27425.016750467967
1_5_2013-03-15,29246.822173955385
1_5_2013-03-22,27913.912721088476
1_5_2013-03-29,25607.651664447698
1_5_2013-04-05,24752.52768335398
1_5_2013-04-12,22150.103022625546
1_5_2013-04-19,19402.844152931288
1_5_2013-04-26,24327.06467003839
1_5_2013-05-03,21659.216760626125
1_5_2013-05-10,23838.596278008572
1_5_2013-05-17,23014.942890153714
1_5_2013-05-24,20847.020553877748
1_5_2013-05-31,21337.06971514295
1_5_2013-06-07,25835.02335411496
1_5_2013-06-14,25279.764898238227
1_5_2013-06-21,24701.206332916685
1_5_2013-06-28,25435.390233649952
1_5_2013-07-05,19863.581404884844
1_5_2013-07-12,23477.952721467773
1_5_2013-07-19,21531.262967274713
1_5_2013-07-26,25737.485039531126
1_6_2012-11-02,3599.5397353818644
1_6_2012-11-09,3084.134215360452
1_6_2012-11-16,4133.720937154583
1_6_2012-11-23,14570.411482011681
1_6_2012-11-30,12451.415978313073
1_6_2012-12-07,5360.687464688117
1_6_2012-12-14,9431.065748531551
1_6_2012-12-21,14630.28326680293
1_6_2012-12-28,5409.924314349326
1_6_2013-01-04,1447.3948908571058
1_6_2013-01-11,1510.723857980272
1_6_2013-01-18,1835.1280050669427
1_6_2013-01-25,1575.0103851817219
1_6_2013-02-01,2682.9759621616886
1_6_2013-02-08,3355.996296488097
1_6_2013-02-15,3034.561593690947
1_6_2013-02-22,3287.7708354741485
1_6_2013-03-01,3258.6260055739776
1_6_2013-03-08,3353.160731524791
1_6_2013-03-15,3413.539476892024
1_6_2013-03-22,3441.219235002018
1_6_2013-03-29,3180.2080760464664
1_6_2013-04-05,3004.022309889799
1_6_2013-04-12,3807.297085166725
1_6_2013-04-19,2965.4850655545843
1_6_2013-04-26,3287.7180590326557
1_6_2013-05-03,6185.925959574459
1_6_2013-05-10,6866.995952996995
1_6_2013-05-17,6477.035033166573
1_6_2013-05-24,6960.987294375606
1_6_2013-05-31,6639.843935823911
1_6_2013-06-07,7240.800744944027
1_6_2013-06-14,6763.877260881763
1_6_2013-06-21,6687.81205568573
1_6_2013-06-28,6254.049541491816
1_6_2013-07-05,5764.244002272234
1_6_2013-07-12,6237.1203310334695
1_6_2013-07-19,6679.77407002939
1_6_2013-07-26,6967.165986964088
1_7_2012-11-02,27973.65552767744
1_7_2012-11-09,27872.83870025484
1_7_2012-11-16,30226.790370163697
1_7_2012-11-23,87165.63745335398
1_7_2012-11-30,85934.80432893307
1_7_2012-12-07,53869.47332633565
1_7_2012-12-14,68467.61508924712
1_7_2012-12-21,112705.13270862034
1_7_2012-12-28,38123.310492802266
1_7_2013-01-04,11428.518438892206
1_7_2013-01-11,11881.72165493752
1_7_2013-01-18,11831.621075048639
1_7_2013-01-25,12206.798272963943
1_7_2013-02-01,19738.968587881776
1_7_2013-02-08,22080.826263153445
1_7_2013-02-15,18243.79537795163
1_7_2013-02-22,19625.508813785338
1_7_2013-03-01,21921.741958450395
1_7_2013-03-08,21902.8661849043
1_7_2013-03-15,21486.02896185528
1_7_2013-03-22,24522.07253265734
1_7_2013-03-29,22027.306114648465
1_7_2013-04-05,24196.057388061316
1_7_2013-04-12,21306.426992072284
1_7_2013-04-19,21843.362508939466
1_7_2013-04-26,20195.796903319486
1_7_2013-05-03,25378.52375708036
1_7_2013-05-10,25416.787702308793
1_7_2013-05-17,25528.654797789968
1_7_2013-05-24,33437.384054019654
1_7_2013-05-31,38493.42376760929
1_7_2013-06-07,34047.22848500709
1_7_2013-06-14,37094.544865099764
1_7_2013-06-21,36566.10770136445
1_7_2013-06-28,31782.65894004038
1_7_2013-07-05,34313.312222456014
1_7_2013-07-12,29674.464832843507
1_7_2013-07-19,27640.97469386743
1_7_2013-07-26,28052.26931417291
1_8_2012-11-02,41513.8927270328
1_8_2012-11-09,41732.446599008
1_8_2012-11-16,37436.725451296385
1_8_2012-11-23,35022.84950724584
1_8_2012-11-30,39962.50373164078
1_8_2012-12-07,40673.66878565524
1_8_2012-12-14,39806.866114158714
1_8_2012-12-21,43783.247324505006
1_8_2012-12-28,37232.61521138032
1_8_2013-01-04,37944.12499518775
1_8_2013-01-11,34698.748832127545
1_8_2013-01-18,35947.830385934074
1_8_2013-01-25,35355.27436855901
1_8_2013-02-01,42512.44890597403
1_8_2013-02-08,43077.19116531571
1_8_2013-02-15,38616.172927263826
1_8_2013-02-22,39415.22702459024
1_8_2013-03-01,39557.32328586049
1_8_2013-03-08,39237.29659966622
1_8_2013-03-15,38986.862236015164
1_8_2013-03-22,38806.525621237706
1_8_2013-03-29,36412.71221045852
1_8_2013-04-05,38762.31769907145
1_8_2013-04-12,35813.782412376444
1_8_2013-04-19,35279.16866225281
1_8_2013-04-26,35632.005599292104
1_8_2013-05-03,40929.24349029783
1_8_2013-05-10,42532.566074776136
1_8_2013-05-17,40885.22449365866
1_8_2013-05-24,40536.717185282556
1_8_2013-05-31,37493.56595408557
1_8_2013-06-07,41340.45588415178
1_8_2013-06-14,40357.13559178007
1_8_2013-06-21,39759.87823544658
1_8_2013-06-28,38992.61952290426
1_8_2013-07-05,41257.895024320555
1_8_2013-07-12,38708.525053540696
1_8_2013-07-19,37684.014314320084
1_8_2013-07-26,36984.474187891974
1_9_2012-11-02,29562.137316842298
1_9_2012-11-09,28751.84476168534
1_9_2012-11-16,29757.2417037859
1_9_2012-11-23,40178.32833390833
1_9_2012-11-30,34501.85183033941
1_9_2012-12-07,30434.422441596573
1_9_2012-12-14,32068.933975224412
1_9_2012-12-21,39235.57164260566
1_9_2012-12-28,24877.516553311492
1_9_2013-01-04,14937.870763066672
1_9_2013-01-11,17977.22564755071
1_9_2013-01-18,15040.557177936093
1_9_2013-01-25,17956.6869971914
1_9_2013-02-01,26113.9326435605
1_9_2013-02-08,22992.980723419812
1_9_2013-02-15,22897.613946732272
1_9_2013-02-22,23102.125319930656
1_9_2013-03-01,29946.066315929696
1_9_2013-03-08,29523.88091049295
1_9_2013-03-15,30376.09761301556
1_9_2013-03-22,31738.24188272034
1_9_2013-03-29,27263.26497051775
1_9_2013-04-05,30359.48123076682
1_9_2013-04-12,27918.79332210184
1_9_2013-04-19,29641.55408570313
1_9_2013-04-26,28042.74892432845
1_9_2013-05-03,32610.687416336514
1_9_2013-05-10,31086.914625133802
1_9_2013-05-17,31065.408607180783
1_9_2013-05-24,31156.031631463702
1_9_2013-05-31,31121.963868189294
1_9_2013-06-07,35344.14173825326
1_9_2013-06-14,34679.69529197587
1_9_2013-06-21,34884.16575107449
1_9_2013-06-28,32205.12946791056
1_9_2013-07-05,36811.249695110324
1_9_2013-07-12,33280.1645458643
1_9_2013-07-19,30124.48901923707
1_9_2013-07-26,29925.758399509614
1_10_2012-11-02,35903.66783017394
1_10_2012-11-09,35911.59927337628
1_10_2012-11-16,34516.20126902928
1_10_2012-11-23,36724.801845105845
1_10_2012-11-30,36372.81451331643
1_10_2012-12-07,38234.15788982001
1_10_2012-12-14,36613.16621083916
1_10_2012-12-21,36584.598728212775
1_10_2012-12-28,30413.563601372996
1_10_2013-01-04,28464.04911933595
1_10_2013-01-11,27996.883813251843
1_10_2013-01-18,28330.99443063732
1_10_2013-01-25,28670.42859885599
1_10_2013-02-01,36824.274673759915
1_10_2013-02-08,36386.81882177834
1_10_2013-02-15,32306.831351683315
1_10_2013-02-22,35174.95913782268
1_10_2013-03-01,35502.57184312566
1_10_2013-03-08,35680.80264990856
1_10_2013-03-15,36023.685963009346
1_10_2013-03-22,36497.39466636532
1_10_2013-03-29,34088.57580065974
1_10_2013-04-05,34416.347441196514
1_10_2013-04-12,33399.54419279943
1_10_2013-04-19,33332.11171310208
1_10_2013-04-26,32556.433413519593
1_10_2013-05-03,30524.04037496395
1_10_2013-05-10,31145.175633158284
1_10_2013-05-17,30356.046908369055
1_10_2013-05-24,31870.015507112537
1_10_2013-05-31,30191.41442341467
1_10_2013-06-07,31075.97899159351
1_10_2013-06-14,32021.63549112868
1_10_2013-06-21,31776.65333256694
1_10_2013-06-28,31677.92359506812
1_10_2013-07-05,31247.086501331014
1_10_2013-07-12,30857.016499489542
1_10_2013-07-19,29506.61690160855
1_10_2013-07-26,29438.34234401671
1_11_2012-11-02,27205.19538043573
1_11_2012-11-09,27198.65489588732
1_11_2012-11-16,24388.842516690373
1_11_2012-11-23,28421.102893028266
1_11_2012-11-30,24845.184864234485
1_11_2012-12-07,30654.90786336424
1_11_2012-12-14,26138.86426715018
1_11_2012-12-21,27812.055866785275
1_11_2012-12-28,26351.174954321174
1_11_2013-01-04,26526.22856595266
1_11_2013-01-11,22650.972339433243
1_11_2013-01-18,22475.64319134978
1_11_2013-01-25,22281.70741980019
1_11_2013-02-01,25551.989660720315
1_11_2013-02-08,24076.01914098676
1_11_2013-02-15,21314.29319254884
1_11_2013-02-22,22006.918531684187
1_11_2013-03-01,24126.991640310283
1_11_2013-03-08,24123.8051768088
1_11_2013-03-15,22484.583689153398
1_11_2013-03-22,24627.260503940946
1_11_2013-03-29,21756.004266233413
1_11_2013-04-05,23423.91061159748
1_11_2013-04-12,21310.018213439125
1_11_2013-04-19,23278.678829481647
1_11_2013-04-26,20685.06829237686
1_11_2013-05-03,28417.273415809694
1_11_2013-05-10,26436.951850039964
1_11_2013-05-17,27255.233263355298
1_11_2013-05-24,29695.186498410403
1_11_2013-05-31,29940.940040399637
1_11_2013-06-07,33670.3800977586
1_11_2013-06-14,32566.991462159654
1_11_2013-06-21,33220.88826749251
1_11_2013-06-28,32738.17176520881
1_11_2013-07-05,35546.36257084209
1_11_2013-07-12,29613.492623273894
1_11_2013-07-19,28232.278931632885
1_11_2013-07-26,28404.33634474054
1_12_2012-11-02,9621.991822933584
1_12_2012-11-09,9664.271175389415
1_12_2012-11-16,9612.536186571335
1_12_2012-11-23,8464.817273355355
1_12_2012-11-30,8394.038112441374
1_12_2012-12-07,8993.389143014583
1_12_2012-12-14,9146.031208663882
1_12_2012-12-21,8719.131446939573
1_12_2012-12-28,7759.479038207514
1_12_2013-01-04,7323.86305264597
1_12_2013-01-11,7996.105424001544
1_12_2013-01-18,7950.535063804863
1_12_2013-01-25,8501.33635456818
1_12_2013-02-01,9427.179989658041
1_12_2013-02-08,9450.056977651999
1_12_2013-02-15,8994.955329773016
1_12_2013-02-22,9520.148881617064
1_12_2013-03-01,9513.733832827185
1_12_2013-03-08,9401.226670459886
1_12_2013-03-15,9692.125097236876
1_12_2013-03-22,9748.844727542191
1_12_2013-03-29,9130.721095983852
1_12_2013-04-05,9314.440351480609
1_12_2013-04-12,9659.743472553613
1_12_2013-04-19,9634.84621208927
1_12_2013-04-26,9324.758144341691
1_12_2013-05-03,9257.918287524362
1_12_2013-05-10,9516.124819212098
1_12_2013-05-17,9482.780547153961
1_12_2013-05-24,8941.557116644948
1_12_2013-05-31,9104.072901422658
1_12_2013-06-07,9511.57565153876
1_12_2013-06-14,9564.111323927486
1_12_2013-06-21,9493.552338479907
1_12_2013-06-28,9396.086439874169
1_12_2013-07-05,8661.54630674564
1_12_2013-07-12,9381.502011400726
1_12_2013-07-19,9196.241060593362
1_12_2013-07-26,9513.97602933434
1_13_2012-11-02,41587.08169838698
1_13_2012-11-09,41584.32008065756
1_13_2012-11-16,37990.292846606615
1_13_2012-11-23,38380.64224840648
1_13_2012-11-30,37032.85675926294
1_13_2012-12-07,39451.1100010263
1_13_2012-12-14,36845.34398322881
1_13_2012-12-21,38554.24430083614
1_13_2012-12-28,36388.60517878756
1_13_2013-01-04,41583.47205790832
1_13_2013-01-11,39289.96688425665
1_13_2013-01-18,37828.559576980006
1_13_2013-01-25,38120.700580112934
1_13_2013-02-01,42442.48803439057
1_13_2013-02-08,42575.576014382554
1_13_2013-02-15,39763.88081142381
1_13_2013-02-22,39673.62300027667
1_13_2013-03-01,41735.65160405707
1_13_2013-03-08,41760.344109820784
1_13_2013-03-15,40018.71642454696
1_13_2013-03-22,39934.70132703622
1_13_2013-03-29,38127.16988099688
1_13_2013-04-05,40720.557897299834
1_13_2013-04-12,38161.85351377135
1_13_2013-04-19,38410.90404154475
1_13_2013-04-26,37303.60336001816
1_13_2013-05-03,41542.298880243514
1_13_2013-05-10,42019.11474852595
1_13_2013-05-17,40660.62950129005
1_13_2013-05-24,39756.676670674045
1_13_2013-05-31,39172.7821223576
1_13_2013-06-07,41081.77133364785
1_13_2013-06-14,40388.99636537968
1_13_2013-06-21,39388.26679783065
1_13_2013-06-28,38778.68102202742
1_13_2013-07-05,41721.723587154214
1_13_2013-07-12,40615.221050644686
1_13_2013-07-19,38973.74569144339
1_13_2013-07-26,38358.00114893436
1_14_2012-11-02,19242.137143182947
1_14_2012-11-09,19629.898910950065
1_14_2012-11-16,19602.380595442817
1_14_2012-11-23,44463.10235784446
1_14_2012-11-30,35282.878210572824
1_14_2012-12-07,24836.708576114146
1_14_2012-12-14,27344.552095388142
1_14_2012-12-21,35801.37037349527
1_14_2012-12-28,24183.60579072464
1_14_2013-01-04,16614.741111262247
1_14_2013-01-11,15438.177283189301
1_14_2013-01-18,15248.520190020072
1_14_2013-01-25,13758.071949333105
1_14_2013-02-01,18710.989338785235
1_14_2013-02-08,19455.184044391157
1_14_2013-02-15,17958.514749408416
1_14_2013-02-22,18115.78434836008
1_14_2013-03-01,17088.98319552034
1_14_2013-03-08,16949.0715127489
1_14_2013-03-15,17356.77596738593
1_14_2013-03-22,17102.380450672325
1_14_2013-03-29,15653.838614252158
1_14_2013-04-05,16494.04494162383
1_14_2013-04-12,14593.931451795177
1_14_2013-04-19,15496.676873131206
1_14_2013-04-26,14934.87630937959
1_14_2013-05-03,19221.23288696578
1_14_2013-05-10,17582.316881867726
1_14_2013-05-17,17612.151518164126
1_14_2013-05-24,19367.22406737761
1_14_2013-05-31,17061.849279647853
1_14_2013-06-07,16402.299756215154
1_14_2013-06-14,17775.80363967477
1_14_2013-06-21,16693.230748420552
1_14_2013-06-28,14989.343906573555
1_14_2013-07-05,17504.539047955972
1_14_2013-07-12,15609.9239724682
1_14_2013-07-19,14258.561241999661
1_14_2013-07-26,14510.360813953914
1_16_2012-11-02,8623.756051569673
1_16_2012-11-09,6939.505748616504
1_16_2012-11-16,7288.400074295882
1_16_2012-11-23,8849.3828998196
1_16_2012-11-30,6299.855539946799
1_16_2012-12-07,12707.656905289126
1_16_2012-12-14,8244.727189435534
1_16_2012-12-21,10718.841443253603
1_16_2012-12-28,5558.563494127707
1_16_2013-01-04,6409.672744544961
1_16_2013-01-11,8330.845838136815
1_16_2013-01-18,8014.945543387772
1_16_2013-01-25,10458.865794851514
1_16_2013-02-01,20560.546577057805
1_16_2013-02-08,17525.267429775624
1_16_2013-02-15,13842.076969125048
1_16_2013-02-22,14258.522452258045
1_16_2013-03-01,29409.506480632437
1_16_2013-03-08,29347.01206063013
1_16_2013-03-15,32786.319309724226
1_16_2013-03-22,39582.210128468636
1_16_2013-03-29,29263.338774084394
1_16_2013-04-05,43010.26226042034
1_16_2013-04-12,43105.655385992715
1_16_2013-04-19,45235.61595884583
1_16_2013-04-26,41036.904206026455
1_16_2013-05-03,42294.946870984386
1_16_2013-05-10,39161.08342549331
1_16_2013-05-17,38117.215312677334
1_16_2013-05-24,35994.60529208981
1_16_2013-05-31,38990.482128154814
1_16_2013-06-07,39914.72402488792
1_16_2013-06-14,35804.31089154366
1_16_2013-06-21,35552.263246696355
1_16_2013-06-28,34354.43469030984
1_16_2013-07-05,33284.658407514966
1_16_2013-07-12,30413.293135351014
1_16_2013-07-19,28910.724326320422
1_16_2013-07-26,27102.780003694144
1_17_2012-11-02,10695.656822504732
1_17_2012-11-09,10580.349169934363
1_17_2012-11-16,9915.384399759085
1_17_2012-11-23,15019.217717910144
1_17_2012-11-30,15346.109398575374
1_17_2012-12-07,11237.080618265572
1_17_2012-12-14,12959.512098027555
1_17_2012-12-21,15855.328650693215
1_17_2012-12-28,11145.034046579494
1_17_2013-01-04,8593.402175802232
1_17_2013-01-11,8024.384091557351
1_17_2013-01-18,8838.536682181268
1_17_2013-01-25,7573.594017240242
1_17_2013-02-01,9826.131431611244
1_17_2013-02-08,10540.417481936278
1_17_2013-02-15,9175.286288604611
1_17_2013-02-22,10318.783886283216
1_17_2013-03-01,9611.755402712051
1_17_2013-03-08,9829.24173095468
1_17_2013-03-15,10157.993693535645
1_17_2013-03-22,9689.984213750806
1_17_2013-03-29,8739.953106994339
1_17_2013-04-05,8623.843109419664
1_17_2013-04-12,8288.808898311107
1_17_2013-04-19,7757.330434784491
1_17_2013-04-26,8585.725479517714
1_17_2013-05-03,10175.745954284093
1_17_2013-05-10,9793.93523000028
1_17_2013-05-17,9841.852653049724
1_17_2013-05-24,9917.200474083544
1_17_2013-05-31,9570.088895075532
1_17_2013-06-07,9585.233945081634
1_17_2013-06-14,9931.887951810713
1_17_2013-06-21,9261.16974010834
1_17_2013-06-28,8872.169967976732
1_17_2013-07-05,9533.775446406184
1_17_2013-07-12,9955.925511546691
1_17_2013-07-19,9451.61079576617
1_17_2013-07-26,9530.569736466041
1_18_2012-11-02,15078.870898637433
1_18_2012-11-09,15396.227374668151
1_18_2012-11-16,16319.750449945255
1_18_2012-11-23,38794.164541212034
1_18_2012-11-30,18524.03796282939
1_18_2012-12-07,41493.94036387977
1_18_2012-12-14,31695.931261472346
1_18_2012-12-21,29280.644287626626
1_18_2012-12-28,23005.04015655531
1_18_2013-01-04,5280.080890938348
1_18_2013-01-11,4481.936089066817
1_18_2013-01-18,3290.742065776607
1_18_2013-01-25,1704.584601386734
1_18_2013-02-01,9095.221684532793
1_18_2013-02-08,6563.1487307602565
1_18_2013-02-15,11875.929476681964
1_18_2013-02-22,5431.324014447245
1_18_2013-03-01,1636.8254104618168
1_18_2013-03-08,2392.154612388517
1_18_2013-03-15,4929.89108813354
1_18_2013-03-22,4436.706979560759
1_18_2013-03-29,1745.4899846019441
1_18_2013-04-05,1293.3300230353625
1_18_2013-04-12,2819.499416580614
1_18_2013-04-19,567.8999446427838
1_18_2013-04-26,1444.387881521331
1_18_2013-05-03,-585.0004085206515
1_18_2013-05-10,1611.0850034567477
1_18_2013-05-17,-18.60140196852161
1_18_2013-05-24,4191.479742447027
1_18_2013-06-07,-628.2703107419524
1_18_2013-07-05,5286.428214506757
1_19_2012-11-02,1602.0503381328433
1_19_2012-11-09,1762.6841973675607
1_19_2012-11-16,1813.2566559422396
1_19_2012-11-23,2154.414074304255
1_19_2012-11-30,2059.864808456181
1_19_2012-12-07,1828.4153975589827
1_19_2012-12-14,1967.268600395849
1_19_2012-12-21,2774.146639006449
1_19_2012-12-28,1641.2637039632452
1_19_2013-01-04,901.3227649455299
1_19_2013-01-11,898.5265371533226
1_19_2013-01-18,846.4168613747275
1_19_2013-01-25,733.589717552881
1_19_2013-02-01,1691.3033263367408
1_19_2013-02-08,1688.547597123161
1_19_2013-02-15,1452.813416321411
1_19_2013-02-22,1653.4261383100811
1_19_2013-03-01,1702.6152302522464
1_19_2013-03-08,1599.7361803101428
1_19_2013-03-15,1402.9912109152817
1_19_2013-03-22,1750.0605993148922
1_19_2013-03-29,1703.0955705888816
1_19_2013-04-05,1596.4143608126217
1_19_2013-04-12,1230.7004132777681
1_19_2013-04-19,1155.0721264092454
1_19_2013-04-26,1268.7744115026076
1_19_2013-05-03,2210.7749202016525
1_19_2013-05-10,2250.622335178547
1_19_2013-05-17,2220.339147144199
1_19_2013-05-24,2120.721587170841
1_19_2013-05-31,2332.9074226322396
1_19_2013-06-07,2242.9289394014304
1_19_2013-06-14,2335.4459823436596
1_19_2013-06-21,2277.596788245105
1_19_2013-06-28,1497.8217232954744
1_19_2013-07-05,2013.491886267892
1_19_2013-07-12,2434.837022237621
1_19_2013-07-19,2404.88881311858
1_19_2013-07-26,2119.8150973123575
1_20_2012-11-02,4585.4812254672825
1_20_2012-11-09,4962.988332348818
1_20_2012-11-16,4523.52162249914
1_20_2012-11-23,7563.647514656591
1_20_2012-11-30,5449.435646090066
1_20_2012-12-07,4590.815161914586
1_20_2012-12-14,4675.854855302466
1_20_2012-12-21,5739.779072303649
1_20_2012-12-28,4071.3911680284673
1_20_2013-01-04,3372.095527045822
1_20_2013-01-11,3538.170373974446
1_20_2013-01-18,3566.6680514063073
1_20_2013-01-25,3494.435814350971
1_20_2013-02-01,5368.993890154029
1_20_2013-02-08,5837.7737408808935
1_20_2013-02-15,5504.355866851456
1_20_2013-02-22,5441.493098848989
1_20_2013-03-01,5285.584324583447
1_20_2013-03-08,5091.950296999481
1_20_2013-03-15,5372.087030404296
1_20_2013-03-22,5410.772466078236
1_20_2013-03-29,4786.967650641227
1_20_2013-04-05,4543.089599824526
1_20_2013-04-12,4642.64032280165
1_20_2013-04-19,4696.776479580219
1_20_2013-04-26,4272.140445167563
1_20_2013-05-03,4856.741324516886
1_20_2013-05-10,5183.756049205345
1_20_2013-05-17,5347.706684231043
1_20_2013-05-24,5282.008668752372
1_20_2013-05-31,5060.307210248239
1_20_2013-06-07,6400.949027226069
1_20_2013-06-14,6565.565868470315
1_20_2013-06-21,6264.694269277343
1_20_2013-06-28,5586.981421654617
1_20_2013-07-05,6086.6255600754275
1_20_2013-07-12,6338.114796510704
1_20_2013-07-19,5880.528567790404
